Fold,Accuracy,Precision,Recall,F1,TrainTime_s,PredTime_s
1,0.6827033218785796,0.6852418726998734,0.708923034330011,0.675902583373184,36.95959997177124,1.2444865703582764
2,0.670045045045045,0.6972208935940124,0.6575842490842492,0.6642365197681215,37.97815442085266,1.265291690826416
3,0.5751351351351351,0.6057175138515276,0.62869430568721,0.6082439091054075,35.30775427818298,1.2635810375213623
4,0.7191919191919192,0.713570460548876,0.7133941791828204,0.7044811899368892,36.0798773765564,1.216766119003296
5,0.7660256410256411,0.7832289046463923,0.7772583999770766,0.7761836336770718,38.76028323173523,1.124758243560791
6,0.6646415552855407,0.6730279002252779,0.665024984811896,0.6607027433720756,35.97078490257263,1.1497540473937988
7,0.6861575178997613,0.7020491636789928,0.6789877473423241,0.663909799448178,37.96162009239197,1.17808198928833
8,0.7196029776674938,0.7198853654589483,0.7526340326340326,0.7249707826053896,36.5628719329834,1.1087913513183594
9,0.7340686274509803,0.7480156206141401,0.7611462828967724,0.7428202884054586,40.31653714179993,1.1962506771087646
10,0.7873357228195937,0.8017062378873426,0.8051485001589936,0.7972991769056745,38.93864607810974,1.168344259262085
