Fold,Accuracy,Precision,Recall,F1,TrainTime_s,PredTime_s
1,0.6849942726231386,0.7357337860838382,0.6920542635658915,0.7004137748847581,44.657631635665894,0.10782098770141602
2,0.6948198198198198,0.7600402632292351,0.6814670329670329,0.6795632365831634,45.171571016311646,0.13601088523864746
3,0.6086486486486486,0.6508177834367203,0.6265120899913975,0.6221749094369329,44.355101585388184,0.07264256477355957
4,0.6989898989898989,0.7412752406450593,0.6871102387322807,0.6882122087213265,46.093003034591675,0.09262824058532715
5,0.7521367521367521,0.7960037387725561,0.7605077415986797,0.7511433258793043,47.25193119049072,0.10682129859924316
6,0.7023086269744836,0.7560826073390786,0.6869884008382228,0.7053080398785514,47.59875512123108,0.059383392333984375
7,0.6085918854415274,0.6652055072920505,0.6050782571401766,0.62046351236893,46.19339370727539,0.04569888114929199
8,0.6699751861042184,0.72248798505098,0.6865052447552447,0.6907301154926073,46.17648983001709,0.18166899681091309
9,0.7095588235294118,0.7471542109966343,0.7264739831504875,0.7229786481237692,48.21465754508972,0.04677557945251465
10,0.7813620071684588,0.8253538664055006,0.7821208058038607,0.7912736648267182,45.392704010009766,0.10190200805664062
